feature,importance
perimeter_mean,0.0
concavity_se,0.0
texture_mean,0.0
area_mean,0.0
compactness_mean,0.0
concavity_mean,0.0
symmetry_mean,0.0
radius_mean,0.0
perimeter_se,0.0
smoothness_worst,0.0
compactness_worst,0.0
area_worst,0.0
concave points_se,0.0
fractal_dimension_se,0.0
radius_worst,0.0
radius_se,0.0
fractal_dimension_worst,0.0
concavity_worst,0.0
smoothness_mean,2.8678695263598555e-16
symmetry_worst,2.920686254855218e-16
area_se,0.01777177017357425
concave points_mean,0.017816829237965133
texture_worst,0.048062500721655556
concave points_worst,0.1086794486216951
perimeter_worst,0.8076694512451095
