feature,importance
concavity_se,0.09933557908915525
smoothness_mean,0.10080340690037981
symmetry_worst,0.10257327707282715
concave points_se,0.1223449200484128
texture_worst,0.14288891144987947
compactness_mean,0.21924526885402829
compactness_worst,0.22117748988752806
radius_se,0.2314585737939594
perimeter_se,0.26547316034995405
concavity_worst,0.3021121353232026
area_se,0.3476392672221813
concavity_mean,0.35532458297586467
radius_mean,0.3718883624741236
area_mean,0.3736816475317697
perimeter_mean,0.4091725949570799
concave points_worst,0.43114788830779815
concave points_mean,0.44818238078450334
area_worst,0.4535253269833195
perimeter_worst,0.4546264108976772
radius_worst,0.4602797730450414
