feature,importance
smoothness_mean,0.09667126919681346
concavity_se,0.09848436680937134
symmetry_worst,0.1040694416291923
concave points_se,0.12609315593950599
texture_worst,0.1445875080356942
compactness_mean,0.22058670519546442
compactness_worst,0.22074049098899073
radius_se,0.23226235092611391
perimeter_se,0.26530821820292894
concavity_worst,0.3028427010537684
area_se,0.3480022078406839
concavity_mean,0.3548761425274243
radius_mean,0.37002489027082053
area_mean,0.3732420870922091
perimeter_mean,0.4112761623342036
concave points_worst,0.43330601178732575
concave points_mean,0.446688636433616
area_worst,0.45389162734961963
perimeter_worst,0.45389228300905105
radius_worst,0.46051851631731
