feature,importance_mean
area_se,-0.0023809523809523838
radius_se,0.0
perimeter_se,0.0047619047619047675
compactness_mean,0.0047619047619047675
symmetry_mean,0.0047619047619047675
texture_se,0.009523809523809523
smoothness_mean,0.014285714285714301
area_mean,0.016666666666666684
radius_mean,0.016666666666666684
fractal_dimension_mean,0.016666666666666684
radius_worst,0.016666666666666684
perimeter_mean,0.016666666666666684
concave points_mean,0.021428571428571453
concavity_mean,0.02619047619047622
texture_worst,0.08333333333333334
